Source, Target, Code
1616,1614,1M
1614,2094,1M
2094,263,1M
263,1527,1M
1527,2095,1M
2095,1615,1M
1615,885,1M
885,625,1M
625,2316,1M
2316,1107,1M
1107,1442,1M
1442,653,1M
653,1682,1M
1682,1690,1M
1690,2215,1M
2215,1689,1M
1689,1423,1M
1423,2384,1M
2384,1619,1M
1619,2365,1M
2365,1843,1M
1843,1678,1M
1678,934,1M
934,1723,1M
1723,1337,1M
1337,1212,1M
1212,907,1M
907,1725,1M
1725,1046,1M
1046,1237,1M
1237,795,1M
795,2157,1M
2157,1400,1M
1400,1461,1M
1461,126,1M
126,1490,1M
1490,1934,1M
1934,1417,1M
1417,1498,1M
1498,2100,1M
2100,2123,1M
2123,34,1M
34,115,1M
334,1396,200
1396,1777,200
1777,1796,200
1796,1043,200
1043,537,200
537,1120,200
1120,1580,200
1580,1801,200
1801,1236,200
1236,1045,200
1045,1724,200
1724,906,200
906,1211,200
1211,1336,200
1336,1722,200
1722,933,200
933,1677,200
1677,1844,200
1844,2364,200
2364,1618,200
1618,2383,200
2383,1422,200
1422,1310,200
1310,654,200
654,1444,200
1444,902,200
902,1108,200
1108,2315,200
2315,622,200
622,2316,200
2316,1636,200
1636,903,200
903,1443,200
1443,1244,200
1244,655,200
655,1311,200
1311,776,200
776,1423,200
1423,2384,200
2384,1619,200
1619,2365,200
2365,1843,200
1843,1678,200
1678,934,200
934,1723,200
1723,1337,200
1337,1212,200
1212,907,200
907,1725,200
1725,1046,200
1046,1237,200
1237,1802,200
1802,1582,200
1582,1117,200
1117,596,200
596,1797,200
1797,0,200
0,2351,200
2351,1243,200
1243,334,200
2356,1796,201
1796,1043,201
1043,537,201
537,1120,201
1120,1581,201
1581,1798,201
1798,395,201
395,291,201
291,96,201
96,75,201
75,407,201
407,956,201
956,1693,201
1693,2230,201
2230,1750,201
1750,993,201
993,390,201
390,1270,201
1270,1810,201
1810,888,201
888,1474,201
1474,1173,201
1173,2445,201
2445,2443,201
2443,2444,201
2444,2441,201
2441,1174,201
1174,1476,201
1476,889,201
889,1811,201
1811,1271,201
1271,640,201
640,391,201
391,994,201
994,1751,201
1751,2231,201
2231,1694,201
1694,958,201
958,408,201
408,76,201
76,97,201
97,420,201
420,397,201
397,1799,201
1799,1582,201
1582,1117,201
1117,596,201
596,1797,201
1797,0,201
0,2356,201
34,2351,202
2351,1024,202
1024,1814,202
1814,921,202
921,723,202
723,1105,202
1105,418,202
418,293,202
293,1071,202
1071,668,202
668,2126,202
2126,51,202
51,2144,202
2144,2142,202
2142,47,202
47,369,202
369,392,202
392,994,202
994,53,202
53,1300,202
1300,1953,202
1953,1329,202
1329,1544,202
1544,1443,202
1443,1244,202
1244,655,202
655,1690,202
1690,1752,202
1752,1596,202
1596,2215,202
2215,1689,202
1689,803,202
803,1310,202
1310,654,202
654,1444,202
1444,1545,202
1545,1328,202
1328,1952,202
1952,1301,202
1301,54,202
54,993,202
993,393,202
393,370,202
370,48,202
48,2143,202
2143,2145,202
2145,52,202
52,1936,202
1936,2127,202
2127,1495,202
1495,294,202
294,417,202
417,1106,202
1106,1148,202
1148,483,202
483,1817,202
1817,2355,202
2355,32,202
32,34,202
1480,914,203
914,186,203
186,1701,203
1701,404,203
404,288,203
288,2196,203
2196,258,203
258,975,203
975,800,203
800,553,203
553,291,203
291,96,203
96,75,203
75,407,203
407,956,203
956,1693,203
1693,1019,203
1019,2228,203
2228,1213,203
1213,1862,203
1862,1803,203
1803,1422,203
1422,1310,203
1310,654,203
654,1444,203
1444,902,203
902,1108,203
1108,2315,203
2315,622,203
622,2316,203
2316,1636,203
1636,903,203
903,1443,203
1443,1244,203
1244,655,203
655,1311,203
1311,776,203
776,1423,203
1423,1804,203
1804,1863,203
1863,1214,203
1214,2232,203
2232,2229,203
2229,1020,203
1020,1694,203
1694,958,203
958,408,203
408,76,203
76,97,203
97,420,203
420,292,203
292,1071,203
1071,1563,203
1563,1494,203
1494,1516,203
1516,704,203
704,187,203
187,915,203
915,1478,203
1478,1480,203
1126,868,204
868,913,204
913,910,204
910,1440,204
1440,1579,204
1579,2082,204
2082,250,204
250,255,204
255,322,204
322,735,204
735,607,204
607,2424,204
2424,2278,204
2278,428,204
428,1535,204
1535,734,204
734,669,204
669,1495,204
1495,552,204
552,291,204
291,402,204
402,1801,204
1801,1236,204
1236,1045,204
1045,1724,204
1724,906,204
906,1211,204
1211,1336,204
1336,1722,204
1722,933,204
1175,125,2
125,1462,2
1462,448,2
448,1401,2
1401,319,2
319,1591,2
1591,836,2
836,1574,2
1574,929,2
929,785,2
785,567,2
567,1595,2
1597,568,2
568,786,2
786,932,2
932,1575,2
1575,837,2
837,1592,2
1592,320,2
320,1402,2
1402,449,2
449,1463,2
1463,127,2
127,1175,2
2396,609,107
609,1247,107
1247,485,107
485,289,107
289,301,107
301,1941,107
1941,1730,107
1730,1551,107
1551,1197,107
1197,2432,107
2432,62,107
62,1195,107
1195,965,107
965,964,107
964,966,107
966,1196,107
1196,63,107
63,2433,107
2433,1198,107
1198,1552,107
1552,1731,107
1731,1942,107
1942,302,107
302,290,107
290,486,107
486,1245,107
1245,608,107
608,808,107
808,2397,107
2397,2396,107
40,818,108
818,630,108
630,1623,108
1623,1225,108
1225,986,108
986,303,108
303,1393,108
1393,1146,108
1146,1866,108
1866,2295,108
2295,1688,108
1688,542,108
542,1540,108
1540,816,108
816,977,108
977,2050,108
2050,2187,108
2187,1415,108
1415,2459,108
2459,1302,108
1302,273,108
273,2370,108
2370,1746,108
1746,1217,108
1217,198,108
199,1219,108
1219,1747,108
1747,2371,108
2371,272,108
272,1303,108
1303,1922,108
1922,339,108
339,1147,108
1147,1392,108
1392,304,108
304,511,108
511,631,108
631,819,108
819,40,108
115,2099,10M
2099,1335,10M
1335,413,10M
413,875,10M
875,1883,10M
1883,1240,10M
1240,1034,10M
1034,530,10M
530,1644,10M
1644,1286,10M
1286,2225,10M
2225,791,10M
791,1792,10M
1792,1395,10M
1395,780,10M
780,2175,10M
2175,478,10M
478,661,10M
661,2070,10M
2070,809,10M
809,2205,10M
2205,832,10M
832,1138,10M
1138,1532,10M
1532,2085,10M
2085,1427,10M
1427,2395,10M
2395,2410,10M
2410,2394,10M
2394,1428,10M
1428,2086,10M
2086,1531,10M
1531,1139,10M
1139,833,10M
833,2206,10M
2206,810,10M
810,2069,10M
2069,660,10M
660,477,10M
477,2176,10M
2176,781,10M
781,168,10M
168,1218,10M
1218,1644,10M
1644,1286,10M
1286,1095,10M
1095,529,10M
529,1035,10M
1035,1241,10M
1241,1884,10M
1884,876,10M
876,796,10M
796,153,10M
153,412,10M
412,1777,10M
1777,34,10M
34,115,10M
1127,868,11M
868,913,11M
913,910,11M
910,614,11M
614,1186,11M
1186,735,11M
735,587,11M
587,1131,11M
1131,1823,11M
1823,1025,11M
1025,2355,11M
2355,116,11M
116,2098,11M
2098,1335,11M
1335,413,11M
413,875,11M
875,1883,11M
1883,1240,11M
1240,1034,11M
1034,2349,11M
2349,774,11M
774,806,11M
806,1492,11M
1492,182,11M
182,557,11M
557,419,11M
419,1341,11M
1341,575,11M
575,99,11M
99,2025,11M
2025,1867,11M
1868,2026,11M
2026,1292,11M
1292,574,11M
574,576,11M
576,2002,11M
2002,181,11M
181,1491,11M
1491,807,11M
807,775,11M
775,2350,11M
2350,1094,11M
1094,1033,11M
1033,876,11M
876,796,11M
796,153,11M
153,412,11M
412,1777,11M
1777,33,11M
33,2351,11M
2351,1024,11M
1024,1822,11M
1822,1132,11M
1132,586,11M
586,736,11M
736,1185,11M
1185,1193,11M
1193,1191,11M
1191,1145,11M
1145,2242,11M
2242,1183,11M
1183,1127,11M
32,1796,12M
1796,1043,12M
1043,537,12M
537,1120,12M
1120,1580,12M
1580,1800,12M
1800,1236,12M
1236,1047,12M
1047,508,12M
508,1203,12M
1203,207,12M
207,473,12M
473,15,12M
15,811,12M
811,1296,12M
1296,1293,12M
1293,2309,12M
2309,1433,12M
1433,1805,12M
1805,1341,12M
1341,576,12M
576,2002,12M
2002,181,12M
181,1983,12M
1983,1115,12M
1115,113,12M
113,1362,12M
1362,1073,12M
1073,2304,12M
2304,1176,12M
1176,2223,12M
2223,690,12M
690,1294,12M
1294,2173,12M
2174,1295,12M
1295,691,12M
691,2224,12M
